Designator, Val, Package, Mid X, Mid Y, Rotation, Layer
"CN1", "Conn_02x15_Odd_Even", "30PIN_0.4MM_BTB_MALE", 119.1975, -41.43, 0.0, "bottom"
"CN2", "Conn_02x15_Odd_Even", "30PIN_0.4MM_BTB_MALE", 243.02249999999998, -41.43, 0.0, "bottom"
"D11", "1N4148", "SOD-323", 42.404393, -34.00842899999999, 0, "bottom"
"LED11", "WS2812B_3528RGB", "LED-SMD", 47.760000000000005, -26.918749999999996, 0, "bottom"
"S11", "hssocket", "kh1u", 48.41000000000001, -35.79874999999999, 0, "bottom"
"C11", "capacitor", "c0603", 43.64, -27.64374999999999, 270, "bottom"
"D12", "1N4148", "SOD-323", 66.216893, -34.00842899999999, 0, "bottom"
"LED12", "WS2812B_3528RGB", "LED-SMD", 71.5725, -26.918749999999996, 0, "bottom"
"S12", "hssocket", "kh1u", 72.22250000000001, -35.79874999999999, 0, "bottom"
"C12", "capacitor", "c0603", 67.4525, -27.64374999999999, 270, "bottom"
"D13", "1N4148", "SOD-323", 85.266893, -34.00842899999999, 0, "bottom"
"LED13", "WS2812B_3528RGB", "LED-SMD", 90.6225, -26.918749999999996, 0, "bottom"
"S13", "hssocket", "kh1u", 91.27250000000001, -35.79874999999999, 0, "bottom"
"C13", "capacitor", "c0603", 86.5025, -27.64374999999999, 270, "bottom"
"D14", "1N4148", "SOD-323", 104.316893, -34.00842899999999, 0, "bottom"
"LED14", "WS2812B_3528RGB", "LED-SMD", 109.6725, -26.918749999999996, 0, "bottom"
"S14", "hssocket", "kh1u", 110.3225, -35.79874999999999, 0, "bottom"
"C14", "capacitor", "c0603", 105.5525, -27.64374999999999, 270, "bottom"
"D15", "1N4148", "SOD-323", 123.36689299999999, -34.00842899999999, 0, "bottom"
"LED15", "WS2812B_3528RGB", "LED-SMD", 128.72249999999997, -26.918749999999996, 0, "bottom"
"S15", "hssocket", "kh1u", 129.37249999999997, -35.79874999999999, 0, "bottom"
"C15", "capacitor", "c0603", 124.60249999999998, -27.64374999999999, 270, "bottom"
"D16", "1N4148", "SOD-323", 147.17939299999998, -34.00842899999999, 0, "bottom"
"LED16", "WS2812B_3528RGB", "LED-SMD", 152.53499999999997, -26.918749999999996, 0, "bottom"
"S16", "hssocket", "kh1u", 153.18499999999997, -35.79874999999999, 0, "bottom"
"C16", "capacitor", "c0603", 148.41499999999996, -27.64374999999999, 270, "bottom"
"D17", "1N4148", "SOD-323", 166.229393, -34.00842899999999, 0, "bottom"
"LED17", "WS2812B_3528RGB", "LED-SMD", 171.58499999999998, -26.918749999999996, 0, "bottom"
"S17", "hssocket", "kh1u", 172.23499999999999, -35.79874999999999, 0, "bottom"
"C17", "capacitor", "c0603", 167.46499999999997, -27.64374999999999, 270, "bottom"
"D18", "1N4148", "SOD-323", 185.279393, -34.00842899999999, 0, "bottom"
"LED18", "WS2812B_3528RGB", "LED-SMD", 190.635, -26.918749999999996, 0, "bottom"
"S18", "hssocket", "kh1u", 191.285, -35.79874999999999, 0, "bottom"
"C18", "capacitor", "c0603", 186.515, -27.64374999999999, 270, "bottom"
"D19", "1N4148", "SOD-323", 204.329393, -34.00842899999999, 0, "bottom"
"LED19", "WS2812B_3528RGB", "LED-SMD", 209.685, -26.918749999999996, 0, "bottom"
"S19", "hssocket", "kh1u", 210.335, -35.79874999999999, 0, "bottom"
"C19", "capacitor", "c0603", 205.565, -27.64374999999999, 270, "bottom"
"D110", "1N4148", "SOD-323", 228.141893, -34.00842899999999, 0, "bottom"
"LED110", "WS2812B_3528RGB", "LED-SMD", 233.4975, -26.918749999999996, 0, "bottom"
"S110", "hssocket", "kh1u", 234.14749999999998, -35.79874999999999, 0, "bottom"
"C110", "capacitor", "c0603", 229.3775, -27.64374999999999, 270, "bottom"
"D111", "1N4148", "SOD-323", 247.191893, -34.00842899999999, 0, "bottom"
"LED111", "WS2812B_3528RGB", "LED-SMD", 252.5475, -26.918749999999996, 0, "bottom"
"S111", "hssocket", "kh1u", 253.1975, -35.79874999999999, 0, "bottom"
"C111", "capacitor", "c0603", 248.4275, -27.64374999999999, 270, "bottom"
"D112", "1N4148", "SOD-323", 266.241893, -34.00842899999999, 0, "bottom"
"LED112", "WS2812B_3528RGB", "LED-SMD", 271.5975, -26.918749999999996, 0, "bottom"
"S112", "hssocket", "kh1u", 272.2475, -35.79874999999999, 0, "bottom"
"C112", "capacitor", "c0603", 267.4775, -27.64374999999999, 270, "bottom"
"D113", "1N4148", "SOD-323", 285.291893, -34.00842899999999, 0, "bottom"
"LED113", "WS2812B_3528RGB", "LED-SMD", 290.64750000000004, -26.918749999999996, 0, "bottom"
"S113", "hssocket", "kh1u", 291.2975, -35.79874999999999, 0, "bottom"
"C113", "capacitor", "c0603", 286.52750000000003, -27.64374999999999, 270, "bottom"
"D114", "1N4148", "SOD-323", 309.104393, -34.00842899999999, 0, "bottom"
"LED114", "WS2812B_3528RGB", "LED-SMD", 314.46000000000004, -26.918749999999996, 0, "bottom"
"S114", "hssocket", "kh1u", 315.11, -35.79874999999999, 0, "bottom"
"C114", "capacitor", "c0603", 310.34000000000003, -27.64374999999999, 270, "bottom"
"D20", "1N4148", "SOD-323", 18.591893000000002, -57.820929, 0, "bottom"
"LED20", "WS2812B_3528RGB", "LED-SMD", 23.9475, -50.731249999999996, 0, "bottom"
"S20", "hssocket", "kh1u", 24.5975, -59.61124999999999, 0, "bottom"
"C20", "capacitor", "c0603", 19.827500000000004, -51.45624999999999, 270, "bottom"
"D21", "1N4148", "SOD-323", 42.404393, -57.820929, 0, "bottom"
"LED21", "WS2812B_3528RGB", "LED-SMD", 47.760000000000005, -50.731249999999996, 0, "bottom"
"S21", "hssocket", "kh1u", 48.41000000000001, -59.61124999999999, 0, "bottom"
"C21", "capacitor", "c0603", 43.64, -51.45624999999999, 270, "bottom"
"D22", "1N4148", "SOD-323", 61.454392999999996, -57.820929, 0, "bottom"
"LED22", "WS2812B_3528RGB", "LED-SMD", 66.81, -50.731249999999996, 0, "bottom"
"S22", "hssocket", "kh1u", 67.46000000000001, -59.61124999999999, 0, "bottom"
"C22", "capacitor", "c0603", 62.69, -51.45624999999999, 270, "bottom"
"D23", "1N4148", "SOD-323", 80.504393, -57.820929, 0, "bottom"
"LED23", "WS2812B_3528RGB", "LED-SMD", 85.86, -50.731249999999996, 0, "bottom"
"S23", "hssocket", "kh1u", 86.51, -59.61124999999999, 0, "bottom"
"C23", "capacitor", "c0603", 81.74, -51.45624999999999, 270, "bottom"
"D24", "1N4148", "SOD-323", 99.55439299999998, -57.820929, 0, "bottom"
"LED24", "WS2812B_3528RGB", "LED-SMD", 104.90999999999998, -50.731249999999996, 0, "bottom"
"S24", "hssocket", "kh1u", 105.55999999999999, -59.61124999999999, 0, "bottom"
"C24", "capacitor", "c0603", 100.78999999999998, -51.45624999999999, 270, "bottom"
"D25", "1N4148", "SOD-323", 118.604393, -57.820929, 0, "bottom"
"LED25", "WS2812B_3528RGB", "LED-SMD", 123.96, -50.731249999999996, 0, "bottom"
"S25", "hssocket", "kh1u", 124.61, -59.61124999999999, 0, "bottom"
"C25", "capacitor", "c0603", 119.83999999999999, -51.45624999999999, 270, "bottom"
