"Comment","Designator","Footprint","PartNumber"
"1N4148","D11,D12,D13,D14,D15,D16,D17,D18,D19,D110,D111,D112,D113,D114,D21,D22,D23,D24,D25,D26,D27,D28,D29,D210,D211,D212,D213,D214,D31,D32,D33,D34,D35,D36,D37,D38,D39,D310,D311,D312,D314,D41,D43,D44,D45,D46,D47,D48,D49,D410,D411,D412,D413,D414,D51,D52,D53,D56,D57,D58,D59,D511,D512,D513,D514,","SOD-323",""
"CONN2x15","CN1,CN2,","2x15pin_0.4",""
"KHHS","S11,S12,S13,S14,S15,S16,S17,S18,S19,S110,S111,S112,S113,S114,S21,S22,S23,S24,S25,S26,S27,S28,S29,S210,S211,S212,S213,S214,S31,S32,S33,S34,S35,S36,S37,S38,S39,S310,S311,S312,S314,S41,S43,S44,S45,S46,S47,S48,S49,S410,S411,S412,S413,S414,S51,S52,S53,S56,S57,S58,S59,S511,S512,S513,S514,","HS1U",""
"led2812","LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED110,LED111,LED112,LED113,LED114,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED210,LED211,LED212,LED213,LED214,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED310,LED311,LED312,LED314,LED41,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED410,LED411,LED412,LED413,LED414,LED51,LED52,LED53,LED56,LED57,LED58,LED59,LED511,LED512,LED513,LED514,","3528-rev",""
"cap0603","C11,C12,C13,C14,C15,C16,C17,C18,C19,C110,C111,C112,C113,C114,C21,C22,C23,C24,C25,C26,C27,C28,C29,C210,C211,C212,C213,C214,C31,C32,C33,C34,C35,C36,C37,C38,C39,C310,C311,C312,C314,C41,C43,C44,C45,C46,C47,C48,C49,C410,C411,C412,C413,C414,C51,C52,C53,C56,C57,C58,C59,C511,C512,C513,C514,","C0603",""
