"Comment","Designator","Footprint","PartNumber"
"1N4148","D11,D12,D13,D14,D15,D16,D17,D18,D19,D110,D111,D112,D113,D114,D510,D21,D22,D23,D24,D25,D26,D27,D28,D29,D210,D211,D212,D213,D214,D31,D32,D33,D34,D35,D36,D37,D38,D39,D310,D311,D312,D314,D41,D43,D44,D45,D46,D47,D48,D49,D410,D411,D412,D413,D414,D52,D53,D56,D57,D58,D59,D511,","SOD-323",""
"CONN2x15","CN1,CN2,","2x15pin_0.4",""
"KHHS","S11,S11,S12,S12,S13,S13,S14,S14,S15,S15,S16,S16,S17,S17,S18,S18,S19,S19,S110,S110,S111,S111,S112,S112,S113,S113,S114,S114,S510,S510,S21,S21,S22,S22,S23,S23,S24,S24,S25,S25,S26,S26,S27,S27,S28,S28,S29,S29,S210,S210,S211,S211,S212,S212,S213,S213,S214,S214,S31,S31,S32,S32,S33,S33,S34,S34,S35,S35,S36,S36,S37,S37,S38,S38,S39,S39,S310,S310,S311,S311,S312,S312,S314,S314,S41,S41,S43,S43,S44,S44,S45,S45,S46,S46,S47,S47,S48,S48,S49,S49,S410,S410,S411,S411,S412,S412,S413,S413,S414,S414,S52,S52,S53,S53,S56,S56,S57,S57,S58,S58,S59,S59,S511,S511,","HS1U",""
"led2812","LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED110,LED111,LED112,LED113,LED114,LED510,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED210,LED211,LED212,LED213,LED214,LED31,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED310,LED311,LED312,LED314,LED41,LED43,LED44,LED45,LED46,LED47,LED48,LED49,LED410,LED411,LED412,LED413,LED414,LED52,LED53,LED56,LED57,LED58,LED59,LED511,","3528-rev",""
"cap0603",",","C0603",""
